pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
ARO-PWY	8841.013530812805	8688.923987283135	8299.993598595898	7849.564316373282	7911.645033145923	7943.362249184572	8028.015453604169	8636.370936039157	7720.407976620486	8216.103286417152	8578.362363873272	8485.724938446308	8665.360997381324	8753.178184271868	8746.8397169059	8489.400765822576	8863.050552883293	8323.766847678939	8384.480407785273	8052.91640691432	8670.814602185474	9187.938044594168	9298.817328506339	8940.625451097601	8986.246173322292	8758.494148972624	9361.282106225595	8441.864613182115	8548.079913757145	8197.686072366834	8714.04886322389	8508.248368277216	8690.251665778263	8311.890796221322	8494.332715088904	8701.11548001303	8496.976449244645	8539.91772366623	8521.93422349278	8323.67302473993	8657.86434700206	8505.07891576663	8028.026152746225	8140.1878100846525	8128.097050964764	8360.998576269465	8642.38802567064	8689.21035876971	8557.661303491956	8563.376295313881	8298.307676200673	8394.253478795723	8800.424864684715	8227.611559825535	8628.08572919141	8541.109208210948	8388.169939582107	8878.952820196331	8853.226022274408	8971.249973987646	8715.614500106958	8599.60313471816	8800.037316555929	9583.245993518884	9102.5954040389	9002.259101514412	8432.294005829035	8662.320909917971	8680.364301864272	7718.327377512384	7726.169153240227	8188.857696458612	8942.019302205521	9135.922944383661	8902.101929878418	8543.621392079916	8384.5795171285	8323.724055420633	8725.902808848612	8036.5956158480285	8554.651628177833	8027.0819788311355	8528.103929439496	8235.302506410291	8263.735096823726	8315.022136584117	8616.385948028377	8154.107688249727	8086.217165363858	8105.404985787838
ASPASN-PWY	249.38095238095238	293.4453781512605	216.32773109243698	188.88375350140055	259.5686274509804	252.14285714285714	86.57142857142857	222.66666666666666	151.71428571428572	597.0	903.1103296703296	779.5714285714286	577.5714285714286	661.1758241758241	810.5714285714286	802.6628571428571	955.7142857142857	656.2857142857142	214.183081232493	262.0924369747899	293.42857142857144	727.0119198448609	466.1428571428571	645.2997198879551	384.89915966386553	427.8739495798319	350.0	827.3371428571428	868.4285714285714	696.2380866192631	788.5714285714286	555.8991596638655	603.0	683.1666666666666	645.9243697478992	602.422969187675	646.2100840336134	535.4285714285714	624.9378151260504	546.8571428571429	506.4453781512605	560.2857142857143	1678.515630252101	579.11	636.7142857142857	685.5714285714286	826.0840336134453	691.7046218487394	666.0581318681318	607.3211441499676	505.71288299935355	714.4077655677655	806.5280499892265	700.3598448610213	324.427733247145	244.59692307692308	342.96813617754793	223.31388062917475	240.7793837535014	238.54458952811893	233.35304460245635	277.47136393018747	284.3875113122172	178.6904029304029	281.11170006464124	273.0944537815126	458.02355526826113	309.4151346692523	311.0096099978453	369.3423486317604	451.86928248222364	608.7374789915966	301.6392156862745	432.1129799612153	279.3265934065934	294.9293385046326	343.5624886877828	288.0141926308985	188.42813186813186	284.88629390217625	259.93538461538463	411.79445378151263	310.10395604395603	418.2992329239388	473.47945701357463	309.4311355311355	330.34868562809737	393.77135100193925	358.6394828700711	402.0439280327516
AST-PWY	26.666666666666668	33.333333333333336	83.33333333333334	79.33333333333334	83.33333333333334	81.11111111111111	44.44444444444445	85.55555555555556	30.0	67.77777777777777	89.07777777777777	98.88888888888889	137.0	9.166666666666668	111.11111111111111	82.55222222222223	102.22222222222223	81.16666666666667	16.83666666666667	54.44444444444444	32.22222222222222	70.60777777777777	119.82905982905984	311.83333333333337	115.94444444444444	167.22222222222223	90.27777777777779	114.17	159.88888888888889	168.8888888888889	164.44444444444446	65.22222222222223	66.66666666666667	79.44444444444444	107.05555555555557	80.44444444444444	95.55555555555556	85.94444444444446	104.66666666666667	121.11111111111111	138.38888888888889	148.33333333333334	55.55555555555556	92.22222222222223	90.0	20.0	57.22222222222223	61.89222222222223	32.60777777777778	44.88974358974359	43.03333333333333	30.97777777777778	43.90940170940171	92.80000000000001	163.7	125.55555555555557	107.77777777777779	105.0	121.11111111111111	91.11111111111111	97.97777777777779	154.33333333333334	128.88888888888889	70.0	90.33	113.39222222222223	200.1888888888889	102.11111111111111	108.76333333333334	162.96666666666667	125.68555555555555	138.57444444444445	122.22222222222223	45.93333333333334	147.14444444444445	158.29666666666668	100.63333333333333	123.33333333333334	68.7	153.05555555555554	156.11444444444447	131.1966666666667	78.54444444444445	128.77777777777777	117.77777777777779	49.81111111111111	90.96666666666667	83.27777777777779	104.81111111111112	132.5
BIOTIN-BIOSYNTHESIS-PWY	499.82440023475976	392.96744882496637	393.25453863217484	339.92481905629705	335.25361618190664	560.3021449339685	329.00307410695535	586.1201558166691	293.344427536793	147.91035564023178	334.03869292472234	210.8076923076923	191.82620320855614	106.53388130989096	191.90280920060331	195.0260050989397	344.5594193406988	132.59033379237982	502.93978392746914	640.0920039277813	284.15845935540204	468.93235388299195	474.25121948728986	1253.114181371644	273.71820120639956	571.8563063295494	511.3360039429991	391.28858920842544	487.8634887272649	427.3404048849701	230.8746229260935	477.97606335504446	176.02307692307693	274.5549108673356	336.64170643290373	243.4493637436732	333.27670118818367	336.4750597364452	470.16607238539433	243.857983655293	239.6165896124336	160.42951013181192	162.23473842978487	155.27784690799396	245.08889599317988	184.79950583472257	233.8400229119394	256.0816987575422	228.2309823307528	257.0640327247718	303.60783088663965	142.95925032397898	131.45802524225724	128.29770596638073	199.34789979919756	167.87752639517345	241.99747361881336	173.0439141930661	154.54542788616075	181.52262344534284	188.44069183789532	198.50720797352253	139.44265460030167	76.1022138836773	150.15492267435414	120.4802715913252	235.31548825241467	272.55662992844714	135.64316301623688	190.21714036018025	374.4515242640449	378.95575747507746	169.7109522830111	119.20280428224802	133.82965309200605	210.183423346045	220.5841844256313	243.04143875618226	211.70954123908706	393.5144180414344	198.0937462741768	283.01690912537117	145.26040475917736	330.6076639320413	230.1559753546156	148.03503143603487	167.4572759815897	214.4881649246667	178.72426470588235	293.38384918786596
BRANCHED-CHAIN-AA-SYN-PWY	12848.093249387599	13164.877573590098	12961.47488880475	13491.922220789631	13412.030111125934	13191.470167369662	13438.941337314747	12762.211421291468	13529.692442149959	13052.031951465959	12191.55477610392	12459.511306466402	12938.932645739562	12621.96259596625	12584.094913619041	12457.384613350132	12125.302585531537	12732.160714571277	12947.185023224214	12823.404126482254	12797.597256323823	12212.812326484443	13066.404006982048	12436.821964250898	12815.76300239741	12694.67712082093	12881.232969520554	12422.485311709053	12346.044753922084	12646.984206578381	12652.022775680327	12860.079059413534	12673.220521273253	12637.746896413895	12677.05095388743	12747.127783109725	12254.209033319412	12405.814727956707	12311.773474015297	13060.390741523253	12907.764503404462	13038.115580090744	12412.070610037035	12944.220231232366	12915.751323489112	11943.208856322504	12419.634670067107	11840.917973129228	11917.022791607253	12130.000603331579	12138.975199605014	12519.459048923816	12577.378679911764	12522.376345616376	13105.562321539937	13522.348110773117	13028.661570533432	13572.350821026754	13393.38864381003	13475.419483076286	13442.89331656972	13281.50239102053	13427.060637828383	13461.48291940313	13350.969461300901	13341.700295402456	12571.254961906243	12914.565313191302	13288.251790584696	13039.870231615754	12804.120342804512	12740.29605352998	13449.436571562455	13382.75388901881	13502.08626621515	13147.492687901597	13109.591424110147	12749.124617067047	13260.17175449465	12818.550438715636	13122.535570978434	12639.585851891909	12821.576789308992	12663.295871628634	12670.128830848356	13011.75325905627	12867.456752698245	12889.791508634773	13025.156259978843	12893.550584611216
CALVIN-PWY	9054.680372307943	9275.910639219714	9300.828750090035	9825.283663550705	9982.541476022143	9554.251556633917	9737.199809041533	9250.059160079732	9786.571914394382	9273.961507782185	8412.403136074225	8762.026292418397	9077.393466570913	8908.616575947563	8804.137344253908	8490.229844706695	8229.001193966775	8888.277917902315	9092.610755217214	9200.86107002332	8939.347069717116	8623.939496789582	8951.238119178448	8784.365358840785	9062.927164968716	8827.116431472148	9121.23946813861	8514.481123986065	8246.088045982242	8494.56765005604	8498.314968106606	8818.258789128955	8572.519044003508	8678.537522451425	8739.12166710249	8868.781721295945	7981.650332526774	8045.0826100525455	8041.85438185209	9039.363306390012	8803.126213764781	9057.366211041843	8596.883466115345	8857.232737307724	8804.6376989873	7856.546274995902	8615.144358478512	7912.195807618697	8058.390086778686	8213.01892684451	8059.967733497282	8724.69958634017	8813.66199481317	8647.260735480686	9003.54383936284	9411.706625655377	9129.363654363337	9272.487474017524	9332.236929298042	9290.606774165768	9418.37678679586	9402.557258860063	9374.061255464838	10334.578303993378	9951.785865502115	9928.758726191858	9198.402159787754	9629.36596287987	9869.481000910126	9411.99061978128	9346.589375595699	9216.165363402404	9147.481339436717	9047.001625956615	9244.850662831566	9129.633798878804	8981.118244511219	8988.4515526727	9133.175608869731	9152.052352522147	9287.174114749787	9143.45054009425	9287.583430048307	9206.318225179904	9138.484948942996	9337.466662990548	9197.770298690957	9323.27634451532	9293.298269390229	9296.551613725806
CATECHOL-ORTHO-CLEAVAGE-PWY	180.30877192982456	214.6	165.63859649122807	187.15238095238095	103.4	200.57142857142858	99.13333333333333	333.2857142857143	154.33333333333331	172.53333333333333	194.55186147186146	188.53333333333333	254.92	82.05714285714285	223.84935064935064	118.00571428571429	286.1333333333333	162.07238095238094	265.2342857142857	316.0571428571428	171.82857142857142	334.37142857142857	487.51617224880385	544.2095238095238	313.11809523809524	509.4	292.27619047619044	230.22424242424242	325.311341991342	290.19619047619045	323.26666666666665	183.89874686716792	202.8	105.13333333333333	156.4	113.66666666666666	268.76190476190476	268.44190476190477	198.8190476190476	161.86095238095237	206.44190476190477	221.76761904761904	167.0095238095238	213.37142857142857	259.447619047619	134.0	206.9238095238095	146.1349019607843	123.75527374586198	152.32946269416857	145.8081756338899	125.54948051948051	154.55519480519482	205.64361116695483	363.5566666666667	325.88190476190476	356.6557142857143	446.58943977591036	357.14095238095234	478.18661064425766	445.2782072829132	456.1045658263305	461.9373669467787	625.4	232.31974789915967	686.1300840336135	673.8816806722689	658.0964705882353	577.4952380952382	554.4628571428572	455.64771072065184	602.3557422969187	338.7703641456583	366.4461344537815	526.6912605042016	454.4196103896104	501.2990909090909	456.20791953144897	387.80017316017313	517.7124929971989	400.4095238095238	371.2412324929972	324.78142857142853	340.642627960275	392.57080977845686	378.0752380952381	413.6470588235294	262.50711484593836	292.9472065189712	371.9603463203463
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.348484848484848	18.348484848484848	0.0	0.0	0.0	0.0	0.0	2.709677419354839	0.0	0.0	0.0	0.0	0.0	0.0
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	9669.311904761904	9599.661428571428	9601.74	9793.88238095238	9967.94	9756.940952380952	9835.630476190476	9811.175714285715	9782.271428571428	9802.389047619048	9809.0	9830.831904761904	9711.975238095238	9709.336666666666	9666.405714285715	9946.809047619048	9915.534285714286	9642.503333333334	9781.738571428572	9874.644761904761	9931.871904761905	9642.864761904762	9586.07	9963.922380952381	9595.10761904762	9625.952380952382	9868.705238095237	9785.518095238094	9823.753809523809	9748.84761904762	9871.518095238094	9772.238095238095	9906.459047619048	9921.416666666666	9738.668571428572	9866.960476190476	9612.747619047619	9648.42	9650.366666666667	9597.286666666667	9366.891904761906	9520.227142857142	9127.986190476191	9628.694285714286	9476.894761904761	9591.923809523809	9517.536666666667	9596.815714285714	9490.797619047618	9494.253333333334	9371.375238095237	9589.3	9649.250952380953	9532.151904761904	8812.079047619047	8861.121904761905	8760.809523809523	8838.341428571428	8825.191904761905	8903.499523809523	8806.786666666667	8806.714285714286	8923.330476190476	9493.539047619048	9281.065714285714	9131.645238095238	8745.941428571428	8812.65380952381	9169.080476190476	8754.107142857143	8559.080952380953	8697.855714285713	8986.478571428572	9000.372857142856	8908.422857142858	8718.61619047619	8603.647619047619	8451.17857142857	8831.79	8334.224761904761	8664.706666666667	8519.490476190476	8818.3	8589.013333333332	8706.77619047619	8902.617142857143	8715.130952380952	8728.291904761905	8804.757142857143	8618.995238095238
