proktaxa_across	fungitaxa_across	prokallfunc_across	prok_cfunc_across	prok_nfunc_across	fungilife_across	env_across
M01	0.49178576939563	0.662551298112589	0.0674368707300002	0.0468971718684681	0.101305783916556	0.12955285065715	0.110287931175548
M02	0.479099631751346	0.658557214714685	0.0683719940733424	0.050060163766309	0.103083333137504	0.114792276492197	0.184056392483953
M03	0.497304997691397	0.685273801182559	0.0551794325445874	0.0381294828119798	0.0811104912998133	0.270541989486917	0.0696773280758321
M04	0.502423548671641	0.699030349050449	0.0739376990625118	0.0640819061135131	0.233869175913954	0.217128163559395	0.0935209410738769
M05	0.505629272447384	0.689208763459731	0.0679861818407959	0.0561499095275456	0.218086820461964	0.279975308456821	0.285073303154116
M06	0.49683525607493	0.679214035142531	0.0827264230064578	0.0675006631711095	0.219920516503946	0.227338883073747	0.135407412178011
M07	0.495749218858841	0.669346613060762	0.0673289038084833	0.0474221657395507	0.182043673514275	0.160446751443022	0.0924016690721125
M08	0.482590180625466	0.686882644651467	0.0627264384840234	0.0555943203011663	0.175072707053532	0.222314484371627	0.220457612395468
M09	0.510227681561804	0.682080611982742	0.0607204710011455	0.0499091495307142	0.174136446856281	0.172876896989758	0.0734023779894056
M10	0.613179328260768	0.642058595728656	0.117026106563883	0.0807445168609748	0.348713419177009	0.22842258369045	0.157070293465657
M11	0.54754281474041	0.634601764526949	0.083006938121831	0.0435364237686047	0.252728962732636	0.276804639452206	0.441177367752076
M12	0.55355586531005	0.589851224414009	0.08565762918051	0.0583038949172768	0.235888968311978	0.267344550096291	0.107329903141654
M13	0.537304248845654	0.551906559878307	0.0775476205730741	0.0603478142274109	0.206057231854586	0.227137570561944	0.0723861306110121
M14	0.558136000625028	0.608691445752356	0.0785541542118346	0.0653966784489229	0.264248434380108	0.144944983484951	0.0873558598349639
M15	0.529493456733334	0.575834522941079	0.0756673545147458	0.0444111527205209	0.10226260985795	0.216889596691857	0.193431565798223
M16	0.517170056945737	0.559959379337262	0.0840026401298042	0.0522162245609213	0.109812837560018	0.151216848460576	0.140079221313962
M17	0.538185141274346	0.586003312549477	0.0768493398122709	0.0654708119102857	0.093192715307105	0.205162751037835	0.149419561672992
M18	0.517780447050537	0.549975850195444	0.0759768705391746	0.061682577585534	0.132800535634975	0.142975595171917	0.138942713451281
M19	0.498003497061957	0.643918114413402	0.0829694609203857	0.0607970567055585	0.176141893721066	0.10173613966478	0.0934712480448873
