proktaxa_within	fungitaxa_within	prokallfunc_within	prok_cfunc_within	prok_nfunc_within	fungilife_within	env_within
M04	0.381360077286291	0.57151578874977	0.0198830900920029	0.0231002097089541	0.0735810330625004	0.149451330251453	0.0914302923787325
M05	0.378212453821324	0.526555848092481	0.0191366509541869	0.0132387687822501	0.0598252328313423	0.300851214636538	0.22835997852352
M06	0.385281297124831	0.460082997743382	0.0280642189582078	0.0271286821865387	0.0679021177766541	0.22753002932979	0.0577805215041488
M07	0.33287068506072	0.442621049321525	0.0133335096768696	0.0127940992633319	0.0309998871129554	0.0111936235021222	0.096418286779815
M08	0.335090320312677	0.568896131161352	0.0177634065646983	0.0191400737608358	0.0600799147721472	0.232441032159086	0.157021530104384
M09	0.352270405085363	0.488845244265496	0.0184718396520923	0.0190090444959584	0.0345142892777576	0.0586075952806708	0
M10	0.414258386999092	0.402230363732748	0.0696194815419598	0.0519402769850397	0.183524330361906	0.166644781362763	0.0502072204030906
M11	0.355648943286318	0.493946146559883	0.0445185621528696	0.0355730764985013	0.102424561699413	0.171908887864611	0.505889134307069
M12	0.287098846656442	0.324065943176069	0.0263348582714545	0.0190384370237444	0.0832258128416332	0.187562160636674	0.02097952957446
M13	0.341096348226745	0.260497719851766	0.032186326979574	0.0237731114380596	0.0534628842980041	0.243441636762753	0.127204069313175
M14	0.325674377391246	0.544430152675716	0.0211772778818774	0.0221431883351229	0.081575270918275	0.138815697693347	0.145637793734883
M15	0.324145402768751	0.271717781943836	0.0292637983936741	0.0241286327204732	0.0991607814494275	0.124963894814435	0.0735184668173445
M16	0.451625008538697	0.231236264058664	0.0535155885295403	0.0363622546661971	0.189845047422497	0.0560079154318001	0.0238552925706686
M17	0.481156618952458	0.323901194815696	0.0610565649441647	0.0378327293389712	0.120837930393142	0.121548822557417	0.0135972242409936
M18	0.449053762429488	0.268398774272688	0.0534469289195467	0.0372316689800803	0.0855746360714423	0.0777775324920001	0.014924798951967
M19	0.349537467086044	0.426349169884585	0.0219959023470116	0.0203078698568434	0.0444550105061439	0.131220793944459	0
M20	0.391771277678603	0.484148354576333	0.0420038907881434	0.0390905300196539	0.0747840667864447	0.242765006672191	0.0776562371668552
M21	0.331014139647938	0.51859935706717	0.0283863288190654	0.0300226597963292	0.0268392699723598	0.100944584380713	0.0999396147809966
M22	0.311280305096504	0.564508473744141	0.00918498752855411	0	0.0361160255520849	0.475365372779092	0.0342587691640487
M23	0.343971732374352	0.530698662282108	0.0213441256204504	0.0177332615498708	0.066680104845418	0.275323548954909	0.0871818283439729
M24	0.358456966676496	0.589712632356235	0.0200630059956781	0.0240181212969876	0.056644141231532	0.190592037267426	0.0537601854949701
M25	0.477045942776071	0.572464849102837	0.0346435208454322	0.024932284442156	0.095236392789988	0.2673097003827	0.051476229547601
M26	0.441923387871615	0.546443826310075	0.052948684966332	0.0489439376647318	0.0663815306799703	0.127943425524519	0.0267351505753515
M27	0.392438408392114	0.56658360884545	0.0340715832116255	0.0266363285192814	0.0647148194480395	0.14318041470192	0.0503092849537469
M28	0.326177667067705	0.515189318482796	0.0286670663106653	0.0242239008001205	0.0211448099919894	0.197398519900069	0.131073239303313
M29	0.333844828371021	0.443673612889131	0.0405906489163912	0.0292011217035546	0.0933026956211228	0.227253075395511	0.169404685363707
M30	0.344213573597744	0.712709355866968	0.0248967560373244	0.0234811993793123	0.0905156117353198	0.315095026740501	0.0968403643006322
M31	0.337369087020109	0.439128689924165	0.021885434965825	0.012013247131272	0.0384125721224725	0.0643905971190889	0.0264492748428128
M32	0.394457240719753	0.383179412534437	0.0381731852051875	0.0263568821141151	0.132258066996762	0.135619611415789	0.0183844408782424
M33	0.344818043825807	0.461744030483231	0.0295078556174635	0.0217728895715342	0.100549720590307	0.184403074294216	0
M34	0.324637297198475	0.383707333396791	0.0154954528264996	0.0158304939939088	0.0704447841327457	0.0684546869130325	0.0196871495491167
M35	0.379915003698114	0.446802142442841	0.0279013677632431	0.0231784646490028	0.128486449020328	0.219691361378109	0.0488444478269627
