,x
1814,0.88
1815,0.71
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,-0.98
1862,-0.99
1863,-0.29
1864,0.1
1865,-0.27
1866,-0.96
1867,-0.69
1868,-0.87
1869,0.93
1870,0.98
1871,0.97
1872,1
1873,1
1874,1
1875,0.98
1876,0.86
1877,0.04
1878,1
1879,0.99
1880,0.98
1881,0.96
1882,0.98
1883,1
1884,1
1885,1
1886,1
1887,0.89
1888,0.89
1889,0.81
1890,1
1891,1
1892,1
1893,1
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,0.99
1922,1
1923,1
1924,1
1925,1
1926,-0.99
1927,-0.66
1928,-0.87
1929,-0.72
1930,-0.91
1931,-0.87
1932,-0.88
1933,0.29
1934,-0.32
1935,-0.12
1936,0.19
1937,-0.06
1938,0.41
1939,0.88
1940,0.77
1941,0.42
1942,0.93
1943,0.59
1944,0.12
1945,0.99
1946,1
1947,1
1948,1
1949,1
1950,1
1951,0.9
1952,0.94
1953,0.76
1954,0.99
1955,0.98
1956,1
1957,0.99
1958,0.99
1959,0.97
1960,1
1961,0.98
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,0.99
1973,0.99
1974,0.97
1975,1
1976,0.99
1977,1
1978,0.97
1979,1
1980,1
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,-0.18
1991,0.05
1992,0.11
1993,-0.22
1994,-0.37
1995,-0.59
1996,0.87
1997,0.88
1998,0.89
1999,0.96
2000,0.89
2001,0.96
2002,0.91
2003,0.74
2004,0.31
2005,0.98
2006,0.95
2007,0.83
2008,0.97
2009,1
2010,1
2011,1
2012,1
2013,1
2014,0.93
2015,0.93
2016,0.82
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,0.99
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,0.98
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,0.99
2049,1
2050,1
2051,1
2052,1
2053,-1
2054,-1
2055,-1
2056,-1
2057,-1
2058,-0.84
2059,-0.75
2060,-0.66
2061,0.63
2062,0.58
2063,0.82
2064,0.91
2065,0.77
2066,-0.03
2067,0.94
2068,0.8
2069,0.73
2070,0.96
2071,1
2072,1
2073,1
2074,1
2075,1
2076,0.4
2077,0.77
2078,0.48
2079,0.99
2080,0.99
2081,1
2082,1
2083,1
2084,0.98
2085,0.99
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,1
2098,0.99
2099,0.98
2100,0.99
2101,1
2102,1
2103,0.96
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,0.99
2111,1
2112,1
2113,0.99
2114,1
2115,-1
2116,-1
2117,-0.99
2118,-1
2119,-0.69
2120,-0.53
2121,-0.44
2122,0.63
2123,0.38
2124,0.81
2125,0.3
2126,0.78
2127,-0.61
2128,0.77
2129,0.56
2130,0.41
2131,0.98
2132,1
2133,1
2134,1
2135,1
2136,1
2137,0.5
2138,0.76
2139,0.43
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,0.99
2159,1
2160,0.99
2161,1
2162,1
2163,1
2164,0.98
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,-1
2177,-1
2178,-1
2179,-0.85
2180,-0.84
2181,-0.72
2182,0.24
2183,0.26
2184,0.85
2185,0.5
2186,0.34
2187,-0.48
2188,0.68
2189,0.38
2190,0.46
2191,0.99
2192,1
2193,1
2194,1
2195,1
2196,1
2197,0.45
2198,0.52
2199,0.32
2200,1
2201,0.97
2202,0.99
2203,1
2204,0.99
2205,0.91
2206,0.99
2207,0.96
2208,0.97
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,1
2218,0.99
2219,0.98
2220,0.87
2221,1
2222,0.99
2223,1
2224,0.94
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,0.99
2232,1
2233,1
2234,0.99
2235,1
2236,-1
2237,-1
2238,-0.82
2239,-0.97
2240,-0.92
2241,-0.25
2242,-0.39
2243,0.41
2244,-0.19
2245,-0.2
2246,-0.68
2247,0.62
2248,0.54
2249,0.5
2250,0.62
2251,0.9
2252,0.97
2253,0.88
2254,0.95
2255,0.94
2256,-0.7
2257,-0.49
2258,-0.83
2259,0.86
2260,0.8
2261,0.96
2262,0.93
2263,0.95
2264,0.8
2265,0.91
2266,0.9
2267,0.96
2268,1
2269,1
2270,1
2271,0.99
2272,1
2273,0.99
2274,0.89
2275,0.98
2276,0.93
2277,0.81
2278,0.81
2279,0.72
2280,0.88
2281,0.91
2282,0.97
2283,0.74
2284,1
2285,0.98
2286,0.99
2287,0.89
2288,0.99
2289,0.93
2290,0.76
2291,0.95
2292,0.95
2293,0.87
2294,0.95
2295,-1
2296,-0.97
2297,-0.98
2298,-1
2299,0.35
2300,-0.14
2301,0.65
2302,0.32
2303,0.39
2304,-0.58
2305,0.51
2306,0.3
2307,0.27
2308,0.98
2309,1
2310,1
2311,1
2312,1
2313,1
2314,0.16
2315,0.21
2316,-0.44
2317,0.94
