,x
1205,1
1206,1
1207,0.95
1208,0.99
1209,0.99
1210,0.98
1211,0.98
1212,0.97
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0.96
1220,1
1221,1
1222,0.95
1223,0.99
1224,0.51
1225,0.95
1226,0.97
1227,0.86
1228,1
1229,1
1230,0.96
1231,-1
1232,-0.64
1233,0.97
1234,0.96
1235,0.97
1236,0.98
1237,0.97
1238,0.99
1239,0.94
1240,0.96
1241,0.92
1242,0.04
1243,0.1
1244,0.19
1245,0.14
1246,0.67
1247,-0.22
1248,-0.12
1249,0.18
1250,0.19
1251,0.89
1252,0.99
1253,0.89
1254,0.98
1255,1
1256,0.99
1257,1
1258,1
1259,1
1260,0.99
1261,0.88
1262,0.91
1263,0.7
1264,0.84
1265,0.94
1266,0.58
1267,0.71
1268,0.92
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,0.99
1282,1
1283,1
1284,0.99
1285,0.99
1286,0.98
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,0.98
1294,1
1295,1
1296,0.96
1297,1
1298,0.77
1299,0.96
1300,0.98
1301,0.9
1302,1
1303,1
1304,0.98
1305,-0.76
1306,0.94
1307,0.89
1308,0.94
1309,0.95
1310,0.91
1311,0.96
1312,0.81
1313,0.81
1314,0.85
1315,-0.3
1316,-0.12
1317,-0.05
1318,-0.08
1319,0.66
1320,-0.22
1321,-0.41
1322,0.14
1323,0.03
1324,0.79
1325,0.98
1326,0.86
1327,0.97
1328,0.99
1329,0.99
1330,1
1331,1
1332,1
1333,0.97
1334,0.87
1335,0.86
1336,0.67
1337,0.83
1338,0.89
1339,0.39
1340,0.63
1341,0.9
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,0.99
1353,0.99
1354,0.98
1355,1
1356,0.99
1357,0.98
1358,0.98
1359,0.95
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,0.98
1367,1
1368,1
1369,0.96
1370,1
1371,0.73
1372,0.95
1373,0.97
1374,0.87
1375,0.99
1376,0.99
1377,0.96
1378,0.93
1379,0.87
1380,0.92
1381,0.92
1382,0.91
1383,0.96
1384,0.84
1385,0.93
1386,0.83
1387,0.2
1388,0.32
1389,0.52
1390,0.33
1391,0.67
1392,0.27
1393,-0.03
1394,0.31
1395,0.56
1396,0.94
1397,0.98
1398,0.95
1399,0.94
1400,0.98
1401,0.96
1402,1
1403,1
1404,1
1405,0.97
1406,0.94
1407,0.85
1408,0.61
1409,0.79
1410,0.87
1411,0.63
1412,0.8
1413,0.93
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,0.99
1425,1
1426,0.97
1427,1
1428,0.99
1429,0.99
1430,0.98
1431,0.97
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,0.98
1439,1
1440,1
1441,0.98
1442,1
1443,0.68
1444,0.96
1445,0.98
1446,0.9
1447,1
1448,0.99
1449,0.97
1450,-0.02
1451,-0.61
1452,0.06
1453,-0.3
1454,0.53
1455,0.35
1456,0.32
1457,0.11
1458,0.87
1459,0.9
1460,0.75
1461,0.84
1462,0.82
1463,0.89
1464,0.97
1465,0.87
1466,0.96
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,0.99
1477,1
1478,0.98
1479,0.81
1480,0.93
1481,0.93
1482,0.95
1483,0.96
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,0.99
1513,1
1514,0.48
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,-0.01
1522,0.28
1523,-0.02
1524,-0.45
1525,0.23
1526,-0.57
1527,0.41
1528,0.85
1529,0.94
1530,0.78
1531,0.82
1532,0.88
1533,0.79
1534,0.96
1535,0.91
1536,0.9
1537,1
1538,1
1539,1
1540,1
1541,0.99
1542,0.99
1543,1
1544,1
1545,1
1546,0.99
1547,1
1548,0.99
1549,0.79
1550,0.9
1551,0.92
1552,0.97
1553,0.98
1554,1
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,0.98
1583,1
1584,0.56
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,-0.32
1592,-0.2
1593,0.64
1594,-0.02
1595,0.56
1596,0.05
1597,0.87
1598,0.91
1599,0.88
1600,0.86
1601,0.92
1602,0.9
1603,0.99
1604,0.95
1605,0.96
1606,1
1607,1
1608,1
1609,1
1610,0.99
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,0.99
1618,0.7
1619,0.93
1620,0.84
1621,0.98
1622,0.97
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,0.57
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,-0.98
1661,-0.55
1662,-0.86
1663,-0.62
1664,-0.68
1665,0.84
1666,0.87
1667,0.88
1668,0.6
1669,0.87
1670,0.74
1671,0.96
1672,0.93
1673,0.95
1674,0.97
1675,0.94
1676,0.91
1677,0.88
1678,1
1679,0.88
1680,1
1681,1
1682,0.99
1683,0.98
1684,0.97
1685,0.96
1686,0.55
1687,0.83
1688,0.66
1689,0.5
1690,0.79
1691,0.91
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,0.98
1705,0.99
1706,0.99
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,0.99
1720,1
1721,0.71
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,-0.97
1729,-0.84
1730,-0.75
1731,-0.81
1732,0.78
1733,0.83
1734,0.74
1735,0.54
1736,0.74
1737,0.63
1738,0.94
1739,0.88
1740,0.9
1741,1
1742,1
1743,0.99
1744,0.96
1745,0.99
1746,0.99
1747,1
1748,1
1749,0.98
1750,0.95
1751,0.97
1752,0.94
1753,0.56
1754,0.76
1755,0.81
1756,0.89
1757,0.91
1758,0.98
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,0.99
1771,0.97
1772,0.99
1773,0.98
1774,0.99
1775,0.99
1776,0.99
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,0.98
1787,0.99
1788,0.6
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,-0.22
1796,-0.64
1797,-0.13
1798,0.98
1799,0.98
1800,0.99
1801,0.97
1802,0.99
1803,0.98
1804,1
1805,0.99
1806,0.99
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,0.98
1817,0.98
1818,0.95
1819,0.79
1820,0.92
1821,0.95
1822,0.97
1823,0.97
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,0.8
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,-0.96
1862,-0.71
1863,0.84
1864,0.84
1865,0.86
1866,0.78
1867,0.84
1868,0.84
1869,0.96
1870,0.93
1871,0.92
1872,1
1873,1
1874,0.99
1875,0.97
1876,0.97
1877,0.96
1878,1
1879,1
1880,1
1881,0.95
1882,0.98
1883,0.94
1884,0.48
1885,0.79
1886,0.74
1887,0.82
1888,0.85
1889,0.98
1890,1
1891,1
1892,1
1893,1
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,0.99
1918,1
1919,0.54
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,-0.62
1927,0.91
1928,0.93
1929,0.91
1930,0.83
1931,0.89
1932,0.89
1933,0.97
1934,0.9
1935,0.95
1936,1
1937,1
1938,0.99
1939,0.98
1940,1
1941,0.99
1942,1
1943,1
1944,1
1945,0.99
1946,0.99
1947,0.98
1948,0.77
1949,0.92
1950,0.89
1951,0.91
1952,0.93
1953,0.99
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,0.99
1982,1
1983,0.79
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,0.8
1991,0.75
1992,0.85
1993,0.65
1994,0.81
1995,0.78
1996,0.95
1997,0.92
1998,0.92
1999,0.97
2000,0.99
2001,0.97
2002,0.94
2003,1
2004,0.98
2005,1
2006,1
2007,0.99
2008,0.95
2009,0.96
2010,0.94
2011,0.54
2012,0.82
2013,0.65
2014,0.81
2015,0.83
2016,0.94
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,0.99
2030,1
2031,0.99
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,0.99
2045,1
2046,0.76
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,-0.94
2054,-1
2055,-0.66
2056,0.3
2057,-0.82
2058,-0.32
2059,0.01
2060,-0.29
2061,0.96
2062,1
2063,0.94
2064,0.99
2065,0.99
2066,1
2067,1
2068,1
2069,1
2070,0.98
2071,0.96
2072,0.84
2073,0.3
2074,0.73
2075,0.7
2076,0.14
2077,0.59
2078,0.94
2079,1
2080,1
2081,1
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,0.99
2092,1
2093,0.99
2094,0.99
2095,1
2096,0.97
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,0.95
2104,1
2105,0.98
2106,0.97
2107,1
2108,0.65
2109,0.99
2110,0.99
2111,0.95
2112,1
2113,1
2114,0.98
2115,-0.88
2116,-0.64
2117,0.08
2118,-0.59
2119,-0.38
2120,-0.11
2121,-0.23
2122,0.88
2123,0.99
2124,0.9
2125,0.98
2126,0.99
2127,0.99
2128,1
2129,1
2130,1
2131,0.96
2132,0.9
2133,0.78
2134,0.4
2135,0.71
2136,0.78
2137,0.17
2138,0.54
2139,0.91
2140,1
2141,1
