row,col,bNTI,RCbray,process,row.country,row.site,row.landuse,col.country,col.site,col.landuse,pair_scale,pair_landu
K01,M16,-1.77353851118272,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M17,-1.66431511768585,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M18,-1.80329826008136,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M19,-1.90355391438165,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M20,-2.40901747798113,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M21,-2.22841704126233,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M22,-1.42978952653485,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M23,-1.85416468440519,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M24,-2.18255600377664,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M25,-1.79690871510515,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M26,-2.15370151237377,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M27,-2.0479394732939,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Natural,across_site_btw_country,Natural
K01,M28,-1.7626969976748,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M29,-1.81903575220296,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M30,-1.67379280425611,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M31,-1.85998771527029,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M32,-1.51283598265754,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M33,-1.33609445249204,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M34,-1.91103810258284,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M35,-1.93767720758235,1,Dispersal Limitation,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K01,M36,-2.0143762991017,1,Homogeneous Selection,Kenya,D,Natural,Malawi,H,Farm,across_site_btw_country,cross_landuse
K02,K03,-1.98432789134486,-1,Homogenizing Dispersal,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K04,-2.19281037851429,-0.85,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K05,-2.21288884348761,-0.5,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K06,-1.14438772786332,-0.4,Undominated,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K07,-1.94996921126424,-0.95,Undominated,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K08,-0.576805996546646,-0.67,Undominated,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K09,-2.55881656827872,-0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K02,K10,-1.96373657894245,-0.87,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K11,-2.38925192923422,-0.57,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K12,-2.30595708290981,-0.66,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K13,-1.74101140531336,-0.93,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K14,-2.11476830847226,-0.62,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K15,-2.30590283732073,-0.81,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K16,-2.32703266022755,-0.51,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K17,-2.70387828040928,-0.07,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K18,-1.77409544055766,-0.85,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K02,K19,-2.11659359779659,-0.89,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K20,-2.07062618612014,-0.25,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K21,-2.38834979816815,-0.75,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K22,-2.37941311946921,0.98,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K23,-2.2453944708668,0.63,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K24,-1.95569977849896,0.89,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K25,-2.55515090927812,0.67,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K26,-2.27961049674529,-0.03,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K27,-2.2645592032062,0.82,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K02,K28,-2.56009604802212,0.39,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K29,-2.21351898447405,0.32,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K30,-2.23803205775314,0.16,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K31,-2.27106724648649,0.07,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
K02,K32,-2.44041521751314,-0.15,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
