K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species
Prok_ASV24	174	173	159	111	94	205	177	146	152	0	0	34	81	88	0	73	0	88	124	73	0	0	92	0	55	0	0	56	0	83	0	103	0	0	90	127	0	65	0	0	0	0	0	93	0	0	0	0	0	0	0	21	0	26	52	63	94	66	115	114	89	68	85	0	0	0	0	0	23	0	38	48	15	44	73	32	52	25	94	29	52	0	0	0	0	0	0	15	37	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
Prok_ASV25	0	0	0	0	0	0	0	0	0	14	38	0	12	65	34	12	0	20	0	0	65	0	26	0	8	0	0	39	34	24	65	35	0	0	33	31	52	29	49	49	77	183	121	28	205	0	0	7	25	18	23	44	39	64	86	65	58	71	101	106	70	84	48	10	6	0	29	12	13	45	30	41	79	90	173	84	45	71	195	39	48	33	52	35	65	39	30	44	50	55	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	NA	NA
Prok_ASV26	47	100	74	23	0	0	0	0	33	109	104	81	203	154	141	126	63	132	88	45	120	79	48	0	150	58	152	56	45	75	86	55	60	58	52	61	50	0	0	39	93	112	0	49	0	0	28	13	12	0	6	60	66	69	0	58	24	20	33	63	32	47	27	0	24	0	0	0	0	0	16	0	29	51	29	28	47	46	59	29	89	24	0	0	0	38	0	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	38	95	124	95	0	0	0	0	0	0	0	0	0	0	0	0	231	187	290	234	174	289	57	34	39	0	0	0	0	0	0	0	0	0	16	41	69	107	145	106	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV28	0	155	0	0	0	0	0	0	0	146	77	81	216	215	103	78	0	80	0	0	0	70	124	52	254	206	0	270	157	276	314	322	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	64	56	30	49	20	45	11	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	18	13	0	0	0	0	13	24	0	18	41	0	28	38	15	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	260	144	146	103	89	34	24	21	0	0	0	0	0	0	0	0	0	547	181	177	96	75	147	80	36	34	0	0	0	0	0	0	0	0	0	0	0	0	77	93	51	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV30	0	0	0	0	0	0	0	0	0	21	23	21	19	12	0	0	0	13	31	0	0	0	0	0	0	0	0	51	11	24	63	41	30	0	0	36	23	19	32	51	69	89	26	45	62	79	139	67	69	72	48	73	95	68	45	44	39	37	33	32	29	29	17	63	42	41	54	23	63	52	51	67	23	45	29	44	53	52	25	9	23	19	53	36	58	75	45	42	45	39	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA
Prok_ASV31	158	130	147	153	140	123	181	193	163	76	89	0	0	0	0	0	0	45	123	116	98	28	120	76	52	92	0	107	113	87	0	46	129	126	90	112	0	25	57	0	0	0	0	153	65	0	0	0	0	0	0	0	8	0	32	39	30	41	40	53	17	44	20	0	0	6	0	19	0	0	0	0	39	38	31	32	23	35	0	0	0	0	0	0	0	0	0	0	7	19	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA
Prok_ASV32	63	86	65	28	112	28	58	46	105	59	42	60	79	70	56	82	47	44	40	0	102	0	0	0	78	114	71	0	28	0	0	0	0	0	0	0	71	54	36	34	97	79	0	0	0	0	0	0	0	0	0	45	29	63	40	55	0	48	60	30	64	66	45	0	13	0	0	0	44	0	24	22	70	49	54	86	52	58	118	21	43	17	0	16	24	26	19	38	43	30	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV33	121	124	108	0	62	0	66	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	43	22	51	69	94	69	91	70	83	87	59	87	0	15	0	33	0	47	0	0	0	100	108	88	66	89	68	103	78	97	44	77	47	25	66	64	47	33	30	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA
Prok_ASV34	0	0	0	0	0	0	0	0	0	0	31	33	0	15	39	24	0	0	0	0	0	22	22	0	23	17	0	0	15	21	20	33	20	31	0	0	31	19	0	0	0	0	0	0	0	110	94	71	70	62	55	37	19	32	6	24	26	0	0	0	0	26	22	36	48	70	133	37	97	111	44	71	23	15	26	0	23	16	36	13	25	63	131	75	82	111	76	71	87	83	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter	NA
Prok_ASV35	29	26	25	34	36	35	39	23	38	81	62	91	93	87	130	34	51	115	0	0	0	0	0	0	0	0	0	0	21	14	0	19	0	41	26	19	66	38	59	173	151	226	1076	244	295	0	0	0	16	13	14	21	40	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	10	8	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
Prok_ASV36	32	55	61	34	42	31	16	61	48	21	47	44	32	0	0	26	30	18	45	34	37	65	90	56	58	73	84	42	49	36	51	45	34	0	23	21	25	31	23	32	37	37	20	29	37	42	53	33	22	31	31	12	20	22	41	26	35	20	29	39	24	31	30	42	44	40	35	24	41	31	43	28	17	28	46	25	27	0	41	0	23	16	22	17	38	44	17	23	33	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA
Prok_ASV37	0	0	0	0	0	0	0	0	0	37	0	32	71	71	42	0	58	0	0	34	0	79	0	0	31	202	83	0	89	83	0	0	0	0	56	32	225	165	283	282	206	0	211	197	201	0	0	0	0	0	0	48	39	41	0	0	0	23	28	0	13	45	51	0	0	0	0	0	0	0	0	0	0	24	27	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Pyrinomonadales	Pyrinomonadaceae	RB41	NA
Prok_ASV38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	45	33	57	0	61	92	47	96	387	12	406	239	314	291	168	57	113	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	NA
Prok_ASV39	0	39	0	0	0	0	0	0	0	49	0	29	0	21	38	24	150	29	88	0	0	0	0	0	0	126	0	0	0	30	124	44	0	0	0	69	60	52	62	41	24	53	39	0	0	0	0	0	9	6	7	19	16	22	52	30	35	22	25	49	33	44	0	12	22	13	58	14	0	28	12	18	46	65	108	48	61	74	95	59	17	37	49	40	51	45	47	36	36	34	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA
