shannon	simpson	invsimpson	fisher
M27	4.43239395485631	0.888691556010952	8.9840443740135	23.1312722158727
M28	6.23810058555598	0.974921949304241	39.8755075556622	32.4413390796588
M29	5.8181555124242	0.952871194539192	21.2184457089961	53.9339413071837
M30	5.8442164584182	0.974253442718032	38.8401442976757	15.3112498352208
M31	6.46397235766989	0.97942230879607	48.5963167631277	57.243571423618
M32	6.1037750762963	0.971787442031768	35.4452085176403	54.1867682047431
M33	5.99703240847344	0.96937925926506	32.6576031800213	47.2203572788803
M34	6.23082969859477	0.970481749812144	33.8773468493541	57.243571423618
M35	5.87100006945772	0.947918219314345	19.2005723851034	56.7311781699
M36	5.65816819071288	0.924459210191838	13.2378811836563	46.731823990238
