Similarity	Repl	RichDiff	comb	landuse	site	country	relation
0.0860927152317881	0.609271523178808	0.304635761589404	K09_K13	Natural_Farm	D_D	Kenya_Kenya	within_site
0.0809248554913294	0.526011560693642	0.393063583815029	K09_K14	Natural_Farm	D_D	Kenya_Kenya	within_site
0.0883280757097792	0.574132492113565	0.337539432176656	K09_K15	Natural_Farm	D_D	Kenya_Kenya	within_site
0.0958083832335329	0.532934131736527	0.37125748502994	K09_K16	Natural_Farm	D_D	Kenya_Kenya	within_site
0.0990712074303406	0.551083591331269	0.34984520123839	K09_K17	Natural_Farm	D_D	Kenya_Kenya	within_site
0.13029315960912	0.553745928338762	0.315960912052117	K09_K18	Natural_Farm	D_D	Kenya_Kenya	within_site
0.142493638676845	0.391857506361323	0.465648854961832	K09_K19	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.130311614730878	0.464589235127479	0.405099150141643	K09_K20	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.117936117936118	0.398034398034398	0.484029484029484	K09_K21	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.0858895705521472	0.558282208588957	0.355828220858896	K09_K22	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.124223602484472	0.527950310559006	0.347826086956522	K09_K23	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.114427860696517	0.407960199004975	0.477611940298507	K09_K24	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.106741573033708	0.48314606741573	0.410112359550562	K09_K25	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.116343490304709	0.465373961218837	0.418282548476454	K09_K26	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.0785498489425982	0.555891238670695	0.365558912386707	K09_K27	Natural_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.0783289817232375	0.469973890339426	0.451697127937337	K09_K28	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0676056338028169	0.523943661971831	0.408450704225352	K09_K29	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0758293838862559	0.421800947867299	0.502369668246445	K09_K30	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0568475452196382	0.48578811369509	0.457364341085271	K09_K31	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0862533692722371	0.479784366576819	0.433962264150943	K09_K32	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0714285714285714	0.464285714285714	0.464285714285714	K09_K33	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0581113801452785	0.450363196125908	0.491525423728814	K09_K34	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0730337078651685	0.51685393258427	0.410112359550562	K09_K35	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0523255813953488	0.558139534883721	0.38953488372093	K09_K36	Natural_Farm	D_E	Kenya_Kenya	diff_site_within_country
0.0329341317365269	0.281437125748503	0.68562874251497	K09_K37	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0213675213675214	0.427350427350427	0.551282051282051	K09_K38	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0289156626506024	0.47710843373494	0.493975903614458	K09_K39	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.019559902200489	0.493887530562347	0.486552567237164	K09_K40	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0215633423180593	0.544474393530997	0.433962264150943	K09_K41	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0193236714975845	0.48792270531401	0.492753623188406	K09_K42	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0162932790224033	0.411405295315682	0.572301425661914	K09_K43	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0375939849624061	0.357142857142857	0.605263157894737	K09_K44	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.015686274509804	0.396078431372549	0.588235294117647	K09_K45	Natural_Natural	D_F	Kenya_Kenya	diff_site_within_country
0.0182370820668692	0.620060790273556	0.361702127659574	K09_K46	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0193548387096775	0.658064516129032	0.32258064516129	K09_K47	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0153846153846153	0.792307692307692	0.192307692307692	K09_K48	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.04	0.8	0.16	K09_K49	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0409556313993175	0.675767918088737	0.283276450511945	K09_K50	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0144404332129964	0.743682310469314	0.24187725631769	K09_K51	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
