K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species	jrk_template	COMMENT.on.genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Fung_ASV21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	11	8	1	9	0	8	12	6	2	0	0	2	6	0	0	0	0	45	0	0	35	11	20	0	0	3	2	0	3	787	221	1971	436	526	419	63	14	17	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	karoo	jrk07175	NA	plant_pathogen	litter_saprotroph	NA	no_endophytic_capacity	leaf/fruit/seed_pathogen	leaf/fruit/seed	NA	partly_aquatic	NA	NA	filamentous_mycelium	thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)	closed	NA	NA	NA	NA
Fung_ASV22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	1859	0	0	0	0	147	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	708	484	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA	jrk00567	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	NA	non-aquatic	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fung_ASV23	0	0	0	0	0	0	0	0	0	0	118	19	0	0	0	44	39	22	0	0	12	16	0	0	25	0	0	42	64	50	70	98	34	188	87	97	130	33	58	135	86	125	2	2	15	81	91	68	73	108	28	373	143	168	58	12	0	0	0	0	2	0	0	15	0	0	15	0	0	0	383	56	0	0	10	0	0	0	0	0	0	0	8	0	127	307	98	0	14	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA	jrk00692	NA	unspecified_saprotroph	foliar_endophyte	hypervariable,_saprotroph_animal_pathogen_endophyte	foliar_endophyte	NA	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	10	0	0	6	0	0	0	0	16	33	0	9	19	83	22	0	0	29	0	15	0	0	0	25	3	0	8	5	0	0	0	83	68	419	51	388	88	94	385	3	4	0	0	0	0	0	0	0	0	32	0	365	175	305	124	99	59	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	thailandicum	jrk02990	NA	plant_pathogen	litter_saprotroph	NA	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	NA	partly_aquatic	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	76	21	13	14	21	0	0	0	0	0	0	0	0	0	103	187	111	12	17	42	11	24	20	0	0	0	0	0	0	0	98	0	427	493	172	384	382	513	17	77	53	148	144	0	10	51	8	22	0	131	Fungi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fung_ASV26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	269	480	327	254	0	237	191	210	354	207	225	337	261	396	208	153	134	0	0	0	0	0	0	0	0	0	22	15	0	420	257	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Condenascus	tortuosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fung_ASV27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11	0	0	0	0	0	0	0	0	0	0	101	4	0	0	0	487	12	2438	10	20	29	0	0	0	7	0	12	3	0	32	0	16	5	3	0	29	0	0	31	0	5	18	0	46	70	149	57	31	31	52	46	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	transmontanensis	jrk00692	NA	unspecified_saprotroph	foliar_endophyte	hypervariable,_saprotroph_animal_pathogen_endophyte	foliar_endophyte	NA	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV28	0	0	0	0	0	0	0	0	0	66	464	206	21	18	42	14	0	0	0	0	9	19	53	23	15	132	98	14	9	12	22	0	31	11	27	27	101	68	111	502	1805	493	10	4	0	1	0	7	0	6	6	20	38	78	0	0	1	0	0	0	0	0	0	3	10	3	7	0	2	9	13	10	0	0	0	0	0	0	0	0	0	6	4	36	0	2	0	4	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	jrk05302	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	chitinolytic	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fung_ASV29	0	0	0	0	0	0	0	0	0	8	33	21	72	31	28	17	13	9	0	0	0	35	0	0	4	4	0	17	59	35	43	954	26	41	32	53	5	3	0	0	0	0	0	2	0	115	136	62	97	132	406	394	30	454	178	56	18	16	0	9	23	32	30	20	11	10	6	65	6	7	8	12	5	0	5	0	0	0	0	2	0	0	24	0	1	13	8	0	0	79	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	pinophilus	jrk08647	NA	unspecified_saprotroph	NA	hyperviariable,_thermophile,_some_species_animal_parasite_some_species_various_saprotrophs	NA	NA	leaf/fruit/seed,soil,animal_material	mold	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	88	72	152	219	623	553	248	0	0	0	0	0	30	0	0	0	0	62	0	88	129	184	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	menonorum	jrk06287	NA	unspecified_saprotroph	foliar_endophyte	toxin-producing,animal_parasite_some_species,mycoparasite_some_species	foliar_endophyte	NA	soil	mold	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
