Sample	ECM	Pathotroph	Saprotroph	plant_pat_cap	animal_pat_cap	dung_saprotroph	litter_saprotroph	soil_saprotroph	wood_saprotroph
K16	0	26.3749338974088	41.0629296668429	32.6679005817028	36.448968799577	0.727128503437335	3.78106821787414	8.6197778952935	4.45531464833421
K17	0	20.7562136435748	47.2765732416711	29.7197250132205	32.8662083553675	0.132205182443152	2.6176626123744	14.4235854045479	2.32681121099947
K18	0	12.8503437334744	37.1760973030143	17.1073506081438	25.0661025912216	1.86409307244844	3.05393971443681	4.1776837652036	3.93971443680592
K19	0	8.30248545742993	26.969857218403	21.2850343733474	28.397673188789	0.449497620306716	0.872554204124802	12.2025383395029	1.75832892649392
K20	0	6.1872025383395	40.6795346377578	23.3606557377049	40.0317292437864	0.317292437863564	0.436277102062401	16.8958223162348	4.08514013749339
K21	0	9.13537810682179	39.3839238498149	32.4563722897937	37.0438921205711	2.36647276573242	0.76679005817028	23.2284505552618	3.76784769962983
K22	0	6.7028027498678	44.8175568482284	18.918561607615	22.2633527234268	0.251189846641988	1.63934426229508	11.4886303543099	22.4881015335801
K23	0	11.5415124272872	42.5832892649392	33.5933368588049	33.262823902697	0.396615547329455	0.832892649391856	21.5097831835008	11.4621893178213
K24	0	5.86991010047594	49.5901639344262	34.5584346906399	41.9354838709677	0.198307773664728	0.38339502908514	26.7054468535167	11.6472765732417
K25	0	9.53199365415125	47.5938656795346	20.0423056583818	32.0333157059757	1.15018508725542	0.687466948704389	10.3781068217874	17.9005817028028
K26	0	10.2855631940772	36.5282919090428	25.2379693283977	25.1189846641988	0.634584875727129	0.885774722369117	14.7673188789001	14.8334214701216
K27	0	8.43469063987308	41.1158117398202	22.1972501322052	24.7091485986251	2.73664727657324	2.59122157588578	14.9391856160762	13.127974616605
K28	0	15.2829190904283	38.6964569011105	18.0195663670016	32.7075621364358	1.13696456901111	0.621364357482813	2.48545742993125	8.4479111581174
K29	0	16.4595452141724	46.8402961396087	18.7334743521946	46.6816499206769	1.40137493389741	0.71390798519302	2.55156002115283	6.1872025383395
K30	0	13.6567953463776	45.0819672131148	16.7900581702803	41.0364886303543	0.991538868323638	0.568482284505553	6.14754098360656	7.19196192490746
K31	0	16.0629296668429	46.3246959280804	28.8075092543628	48.1491274457958	0.780010576414595	1.18984664198837	12.0174510840825	6.43839238498149
K32	0	16.8164992067689	54.2305658381809	28.146483342147	53.5563194077208	2.31359069275516	0.846113167636171	11.5679534637758	3.54309888947647
K33	0.0132205182443152	17.3585404547858	38.2205182443152	29.6668429402433	39.2120571126388	0.449497620306716	0.898995240613432	11.8323638286621	7.54891591750397
K34	0.0396615547329455	17.9270227392914	33.4082496033845	28.5827604442094	36.0391327340032	0.542041248016922	1.20306716023268	9.34690639873083	4.54785827604442
K35	0	15.1639344262295	47.1575885774722	36.6869381279746	49.0084611316764	1.79799048122686	1.41459545214172	21.7345319936541	5.28820729772607
K36	0	13.0354309888948	28.7942887361185	19.6985721840296	33.6991010047594	0.647805393971444	0.753569539925965	6.0946589106293	4.90481226864093
K37	0	19.0375462718139	29.2041248016922	22.6335272342676	24.246430460074	1.58646218931782	2.36647276573242	4.13802221047065	10.6160761501851
K38	0	15.2564780539397	32.2845055526177	25.9783183500793	20.3992596509783	3.12004230565838	1.00475938656795	10.5896351136965	12.8635642517187
K39	0.0264410364886304	17.9138022210471	31.6234796404019	21.9063987308302	14.2120571126388	1.69222633527234	1.22950819672131	6.47805393971444	18.0724484399788
K40	0	6.42517186673718	47.7789529349551	25.8989952406134	28.0671602326811	1.20306716023268	0.185087255420412	16.3405605499736	21.4569011105235
K41	0	3.06716023268112	48.3342147012163	31.5309360126917	44.9762030671602	0.555261766261238	0.846113167636171	27.9746166049709	3.59598096245373
K42	0	6.99365415124273	47.9111581173982	18.8392384981491	28.9793759915389	1.77154944473823	0.938656795346378	12.7445795875198	18.5087255420412
K43	0	4.613960867266	27.7763088313062	5.28820729772607	6.92755156002115	5.55261766261238	0.71390798519302	0.304071919619249	17.7154944473823
K44	0.0661025912215759	4.56107879428874	47.9375991538868	26.9037546271814	42.9666842940243	0.674246430460074	0.475938656795346	22.5409836065574	7.53569539925965
K45	0	6.90111052353252	29.1909042834479	7.58857747223691	16.1158117398202	1.85087255420412	0.489159175039662	1.29561078794289	13.6567953463776
K46	0.0132205182443152	18.3500793231095	39.8466419883659	26.5468006345849	39.1327340031729	0.423056583818086	1.42781597038604	10.0079323109466	2.82919090428345
K47	0	40.9571655208884	40.4151242728715	47.9375991538868	53.7942887361184	0.462718138551031	6.43839238498149	7.98519301956637	2.181385510312
K48	0	36.9513484928609	32.7868852459016	41.6710735060815	25.462718138551	0.35695399259651	2.30037017451084	8.85774722369117	6.88789000528821
K49	0	15.2564780539397	41.2480169222633	26.3352723426758	43.1385510312004	0.555261766261237	1.00475938656795	11.9513484928609	3.14648334214701
K50	0	25.965097831835	36.4225277630883	36.5282919090429	45.888418826018	0.793231094658911	1.85087255420412	11.9381279746166	2.65732416710735
K51	0	17.1205711263882	40.6927551560021	22.5013220518244	37.9296668429403	1.7451084082496	1.42781597038604	5.28820729772607	5.42041248016922
K52	0	7.45637228979376	56.9011105235325	10.1401374933897	36.872025383395	0.449497620306716	1.75832892649392	2.7895293495505	20.5314648334215
K53	0	10.5367530407192	65.4283447911158	41.5917503966156	56.0021152829191	0.370174510840825	3.52987837123215	30.2353252247488	8.92384981491275
K54	0	6.39873083024855	63.9344262295082	15.7059756742464	50.9122157588577	0.462718138551031	2.9613960867266	7.78688524590164	11.0259122157589
M01	0.0396615547329455	7.69434161819143	35.4970914859863	17.490745637229	25.9783183500793	0.0396615547329455	0.396615547329455	10.2459016393443	1.03120042305658
M02	0	6.63670015864622	41.7239555790587	32.0597567424643	17.490745637229	0.0925436277102062	0.727128503437335	25.8328926493919	0.489159175039661
M03	0	3.21258593336859	46.3114754098361	3.93971443680592	45.6107879428874	0.0264410364886304	0.211528291909043	1.20306716023268	0.436277102062401
M04	0	0.872554204124802	28.8075092543628	17.9138022210471	11.8984664198837	0.0132205182443152	0	17.2527763088313	0.118984664198837
M05	0.0132205182443152	1.20306716023268	19.9101004759387	10.9730301427816	8.28926493918562	0	0	12.6652564780539	0.198307773664728
